Rows:CheckedSize,Columns:referencesSize

R4,050,100,200,400
050,1.0,0.23507,0.13985,0.0713
100,0.46777,1.0,0.40436,0.18323
200,0.53077,0.80061,1.0,0.42214
400,0.53617,0.72079,0.8324,1.0

RW,050,100,200,400
050,0.46804,0.16331,0.09316,0.04687
100,0.33426,0.4178,0.18615,0.08668
200,0.37703,0.39797,0.37257,0.16113
400,0.40529,0.39081,0.36148,0.33332

R1,050,100,200,400
050,1.0,0.39833,0.23424,0.12561
100,0.76193,1.0,0.49423,0.25035
200,0.87113,0.97242,1.0,0.50156
400,0.92366,0.97029,0.98205,1.0

R2,050,100,200,400
050,1.0,0.29758,0.181,0.09708
100,0.57978,1.0,0.45235,0.21707
200,0.67716,0.89108,1.0,0.46472
400,0.71892,0.84451,0.91203,1.0

R3,050,100,200,400
050,1.0,0.26009,0.15528,0.0814
100,0.51194,1.0,0.42666,0.19764
200,0.58381,0.84246,1.0,0.44039
400,0.60664,0.77305,0.86629,1.0

RL,050,100,200,400
050,1.0,0.38751,0.229,0.12346
100,0.74165,1.0,0.4922,0.24793
200,0.83822,0.96614,1.0,0.49995
400,0.8985,0.96072,0.97887,1.0

RSU,050,100,200,400
050,1.0,0.15989,0.05716,0.01565
100,0.58679,1.0,0.24532,0.06275
200,0.74582,0.92735,1.0,0.25198
400,0.8166,0.92933,0.96147,1.0

RS,050,100,200,400
050,1.0,0.15548,0.05549,0.01512
100,0.58061,1.0,0.24298,0.06185
200,0.74145,0.92652,1.0,0.25077
400,0.8129,0.92856,0.96128,1.0

